id,classification
2,PEGI +7
4,PEGI +7
6,PEGI +7
12,None
15,None
20,PEGI +18
21,PEGI +3
22,PEGI +16
24,PEGI +3
26,PEGI +12
27,PEGI +7
28,PEGI +18
32,PEGI +16
34,PEGI +3
35,PEGI +18
37,PEGI +7
38,PEGI +16
40,PEGI +7
41,PEGI +16
42,PEGI +16
43,PEGI +12
44,PEGI +3
45,PEGI +12
47,PEGI +7
48,PEGI +3
49,PEGI +12
54,None
56,None
59,PEGI +12
63,PEGI +7
72,PEGI +3
82,None
87,PEGI +16
97,None
99,PEGI +3
103,None
109,None
110,PEGI +7
117,None
119,PEGI +16
122,None
123,PEGI +12
128,None
129,PEGI +7
131,PEGI +3
134,None
137,PEGI +18
150,PEGI +12
159,None
161,None
179,None
194,PEGI +16
195,None
198,None
200,PEGI +18
206,None
211,PEGI +16
214,PEGI +3
225,None
227,PEGI +7
230,PEGI +3
231,PEGI +7
242,None
247,PEGI +16
249,PEGI +12
250,None
253,PEGI +3
283,PEGI +7
284,PEGI +16
290,PEGI +7
295,PEGI +12
303,PEGI +18
308,PEGI +3
320,PEGI +12
332,PEGI +12
345,PEGI +16
355,None
362,PEGI +18
375,PEGI +3
376,None
378,PEGI +3
382,PEGI +16
391,None
395,PEGI +7
401,PEGI +18
404,None
411,PEGI +18
413,PEGI +3
415,PEGI +7
416,PEGI +18
418,None
423,PEGI +7
425,PEGI +12
428,None
430,PEGI +18
430,None
441,None
447,PEGI +7
455,None
464,None
474,PEGI +7
477,None
490,PEGI +16
492,PEGI +18
495,PEGI +12
496,PEGI +12
500,None
502,None
508,PEGI +12
517,None
531,None
539,None
540,PEGI +12
559,PEGI +12
560,PEGI +3
578,None
582,None
585,None
591,None
592,PEGI +7
602,PEGI +12
605,None
607,PEGI +12
611,None
617,PEGI +7
622,PEGI +18
624,None
631,PEGI +12
646,PEGI +3
647,PEGI +3
654,None
656,None
660,PEGI +16
675,PEGI +7
678,PEGI +16
680,None
693,PEGI +12
696,PEGI +7
700,PEGI +7
704,None
706,None
709,PEGI +12
710,PEGI +18
719,PEGI +12
720,PEGI +18
722,PEGI +7
742,PEGI +12
748,None
753,None
757,PEGI +18
758,PEGI +3
760,PEGI +12
764,PEGI +16
766,PEGI +18
767,PEGI +3
773,PEGI +12
776,PEGI +3
782,PEGI +3
783,PEGI +18
791,None
798,None
802,PEGI +18
809,PEGI +16
812,None
815,None
816,PEGI +12
829,PEGI +18
832,None
834,PEGI +16
835,None
842,PEGI +18
847,None
849,None
852,PEGI +12
857,PEGI +16
864,PEGI +18
865,None
875,PEGI +7
880,PEGI +7
881,PEGI +3
884,PEGI +18
885,PEGI +3
887,PEGI +18
894,PEGI +16
897,None
898,PEGI +12
902,PEGI +16
906,PEGI +18
907,None
908,PEGI +12
914,PEGI +3
917,None
923,PEGI +16
928,PEGI +7
933,PEGI +12
935,None
936,PEGI +7
937,None
946,PEGI +7
949,None
953,None
955,PEGI +12
956,PEGI +3
957,PEGI +16
965,PEGI +16
966,None
974,None
981,None
982,PEGI +12
992,PEGI +12
998,PEGI +18
1009,PEGI +16
1012,PEGI +16
1014,PEGI +12
1020,None
1025,PEGI +12
1029,PEGI +12
1030,None
1033,None
1037,PEGI +12
1045,PEGI +7
1056,PEGI +7
1058,PEGI +3
1077,PEGI +7
1081,PEGI +7
1090,PEGI +12
1097,None
1104,PEGI +18
1105,PEGI +16
1118,None
1119,None
1120,PEGI +18
1121,PEGI +7
1129,PEGI +12
1138,PEGI +7
1140,None
1142,PEGI +16
1144,PEGI +12
1152,PEGI +7
1157,PEGI +3
1159,PEGI +18
1162,PEGI +12
1169,PEGI +18
1171,PEGI +18
1173,PEGI +7
1184,PEGI +16
1188,None
1197,None
1201,None
1202,PEGI +7
1206,None
1207,PEGI +7
1225,None
1230,None
1236,PEGI +12
1239,PEGI +16
1244,None
1253,PEGI +7
1256,PEGI +16
1257,PEGI +12
1258,PEGI +16
1259,None
1271,PEGI +7
1274,None
1281,None
1282,None
1287,PEGI +16
1290,PEGI +12
1299,PEGI +16
1300,None
1303,PEGI +3
1314,PEGI +18
1320,PEGI +18
1322,None
1345,None
1347,PEGI +3
1355,PEGI +7
1358,None
1371,PEGI +3
1374,PEGI +7
1378,PEGI +7
1382,PEGI +12
1391,PEGI +3
1398,None
1412,None
